logic,type,inputs,coverage,escape_risk,specificity,leak_burden,leak_tissues,n_crit_leak,protease,prot_spec,prot_cov,crit_leak_before,crit_rescued,crit_still_leak,rescue_frac,safety,complexity_penalty,final_score
(SLC26A2 OR TACSTD2) AND FAP,OR_AND_protease,3,0.49895623326301575,0.5010437965393066,,,,,FAP,0.4078,77.2,Brain_Cerebellar_Hemisphere;Brain_Cerebellum;Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Brain_Cerebellar_Hemisphere;Brain_Cerebellum;Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.7936200890127761,0.1,0.7432
(SLC26A2 OR TACSTD2) AND MMP11,OR_AND_protease,3,0.49895623326301575,0.5010437965393066,,,,,MMP11,0.6968,97.1,Brain_Cerebellar_Hemisphere;Brain_Cerebellum;Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Brain_Cerebellar_Hemisphere;Brain_Cerebellum;Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.7936200890127761,0.1,0.7432
(SLC26A2 OR TACSTD2) AND ADAM12,OR_AND_protease,3,0.49895623326301575,0.5010437965393066,,,,,ADAM12,0.6592,90.1,Brain_Cerebellar_Hemisphere;Brain_Cerebellum;Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Brain_Cerebellar_Hemisphere;Brain_Cerebellum;Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.7936200890127761,0.1,0.7432
(SLC26A2 OR EPCAM) AND PLAU,OR_AND_protease,3,0.5179689526557922,0.48203104734420776,,,,,PLAU,0.4537,98.8,Brain_Cerebellar_Hemisphere;Brain_Cerebellum;Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Brain_Cerebellar_Hemisphere;Brain_Cerebellum;Kidney_Cortex;Pancreas,Kidney_Medulla;Lung,0.6666666666666666,0.7446971279756716,0.1,0.7405
(BACE2 OR EPCAM) AND MMP11,OR_AND_protease,3,0.5296754240989685,0.4703245759010315,,,,,MMP11,0.6968,97.1,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.70981030576256,0.1,0.7367
(BACE2 OR EPCAM) AND ADAM12,OR_AND_protease,3,0.5296754240989685,0.4703245759010315,,,,,ADAM12,0.6592,90.1,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.70981030576256,0.1,0.7367
(BACE2 OR EPCAM) AND FAP,OR_AND_protease,3,0.5296754240989685,0.4703245759010315,,,,,FAP,0.4078,77.2,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.70981030576256,0.1,0.7367
(EPCAM OR VTCN1) AND PLAU,OR_AND_protease,3,0.5052188038825989,0.4947811961174011,,,,,PLAU,0.4537,98.8,Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Kidney_Cortex;Pancreas,Kidney_Medulla;Lung,0.5,0.7625738745137169,0.1,0.7356
(TMEM106B OR EPCAM) AND MMP11,OR_AND_protease,3,0.5120748281478882,0.4879251718521118,,,,,MMP11,0.6968,97.1,Brain_Cerebellar_Hemisphere;Brain_Cerebellum;Brain_Spinal_cord_cervical_c-1;Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Brain_Cerebellar_Hemisphere;Brain_Cerebellum;Brain_Spinal_cord_cervical_c-1;Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.7440973837126466,0.1,0.7343
(TMEM106B OR EPCAM) AND ADAM12,OR_AND_protease,3,0.5120748281478882,0.4879251718521118,,,,,ADAM12,0.6592,90.1,Brain_Cerebellar_Hemisphere;Brain_Cerebellum;Brain_Spinal_cord_cervical_c-1;Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,Brain_Cerebellar_Hemisphere;Brain_Cerebellum;Brain_Spinal_cord_cervical_c-1;Kidney_Cortex;Kidney_Medulla;Lung;Pancreas,,1.0,0.7440973837126466,0.1,0.7343
